ROI_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
1,0,0,0,8.609445672e-07,0,0,0,0,0.0001032486762,0,0.0002332534496,0.0001304978941,0.008434274234,0.04579488561,0.000891642936,0.0003574593866,0,0,0,4.085113687e-05,2.199439405e-05,0,0,0,1.899727613e-05,9.350497749e-06,0.0008140009595,0.001115536899,0.001723315683,0.0006530252285,0.0002538071712,0.0001172129996,0.0001918251219,0,5.292415517e-05,1.307044658e-05,4.125300984e-05,0,0,0,0,0,0,0.008645595983,0.001267713262,0.001111083315,0.0001037104521,0.0002647087385,2.509510705e-05,0.0003450369113,4.893333244e-05,0.002921836218,0,0.0004848670796,0,0,4.496868132e-05,0.000139296244,0,0.0002793758758,0,0,0,0,0,0,0.000348642905,2.313562618e-05,0.0007554061012,0,0,0.000320871186,0.7336736917,4.161075412e-05,0.0001041489741,0,0,0,0,0,3.115153504e-06,3.711625823e-06,0.0001342911564,0.1271149963,0.3648718894,0.001142027788,0.002070272109,0,9.274302101e-06,0,0,0,0,0,0,0,0,0,0,0,4.295460712e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,2.376072553e-05,6.933003169e-05,0.0001583550184,0.008838486858,0.007731658872,0,0.0004204694123,0,0,0,0,0,0,0,0,0,0,0.00264701061,0.001740465173,0.002151101828,0.001622066251,0.0003053817491,0.0003347179736,0,0,6.176187162e-05,0,0.0003564128419,0,0,0,0.002380952472,0.0004390352697,0,0.02312283404,0.00298940856,0.0008062194102,0,0,0,0,0,0.0009585278458,0,0,0,0,0,0.0008225282072,0,0,0,0,0,0,4.92685358e-05,0.0001795948483,0.002380952472,0,0.002180442214,0,0,4.579973847e-06,0.5557828546,0,0,0,0,0,0,0,0,0,0,0.06874818355,0.2966429591,0.0001961165108,0,4.77116846e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,4.817547392e-07,1.69867817e-05,0,0,1.931762426e-06,0.0002284256188,5.006285937e-05,0.0002211144892,0.0001181919652,0.01204945985,0.01171656698,0.0002021086402,0.0005435251514,0,0,0,0,0,0,0.000243794042,0,0,0,0.003597178496,0.0007601668476,0.002778599504,0.001155016595,0.001109301345,0.0006315622595,0,0.0003713422338,0,0,0.002520134673,0,0,0,0,0,0,0.03334790841,0.009528195485,0.00512681203,0.0003219191858,0.001911478117,0.0002345232933,0.0006472090608,0.0001555978815,0.003703819821,0,7.241901767e-05,3.537339944e-05,0.0001100775698,0,0.0006604719092,1.473282191e-05,0.002747977851,0,1.36816916e-05,8.46066614e-05,6.951448086e-06,0.0001030713029,0,0.002777225338,0.0001925792458,0.0008373697056,0,0,0.0001543032267,0.8377601504,7.092290616e-05,0.0001429495169,1.946896191e-05,0,0,5.526537279e-05,4.235651068e-05,0,1.314539713e-05,0.005732473452,0.1497371942,0.4211161137,0.0059039318,0.001491679344,0.0002374500473,0,0,4.982334758e-06,0,0,0,1.773456233e-06,0,0,0,2.131298061e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.289506301e-05,0,0,0,0,0,0,0,0,0,3.046349661e-07,0,0,0,0,0,7.858534445e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8.609445672e-07,0,4.817547392e-07,0,0,0,0,1.399713256e-06,0.00023250909,0.0003429935314,0.0001812034025,0.000219747235,0.008950054646,0.005717219785,0.001049556537,0.0005075413501,1.348547903e-05,0,9.532853437e-05,3.096717774e-05,3.463599569e-05,0,0,8.88965078e-05,3.223677777e-05,3.942784315e-05,0.004591644742,0.001338292379,0.003048201557,0.001319320523,0.000519322115,0.0004714885727,0.0002153594251,0.000104052735,0.0003448110365,3.423285671e-05,0.0002270229597,0.001134382794,0.0001291122317,0,9.264475375e-05,6.717076758e-05,0,0.06355039775,0.01347579248,0.01120297983,0.007220587693,0.003272288246,0,0.0008635221748,0.0005517055397,0.00648194598,0,0,0,0,0.0001635014487,0.0003662861709,0.0002418476361,0.002886696253,0,0,0.0003956452128,4.569593511e-05,0,0.0001746172784,0.002281863708,0.0008246097714,0.001397611806,0,1.287249142e-05,0.001954789506,0.7684613466,0.002464524237,0.003074751934,9.186576062e-05,0,3.38693244e-05,0.000158958137,0,0,0,0.005053741857,0.1433811039,0.3855330944,0.006436332129,0.001855614595,0,0,0,7.438481407e-05,0.0002926008601,0,0,0,0,0.0001021212811,0,0,0,0,0,0,0,0,0,0,3.592184385e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1.69867817e-05,0,0,0,0,1.325573521e-06,0.0002417130454,0,0.0002182537282,0.0001254735544,0.01131800096,0.07600982487,0,0.0006752993795,0,0,0,0.0004280361172,0,0,0,0,0,0,0.005268280394,0.001783554791,0.009296179749,0.001996126492,0.001179478946,0.000732284796,0,0,0,0.0006772775087,0.0009467847412,0,0,0,0,0,0,0.003117891029,0.0007317557465,0.0009995825822,0.0001455531892,5.931803389e-05,0,0.0002061605192,4.463344521e-05,0.002643522806,0.0002245981741,0,0,0,0,0,2.416959796e-05,0.0009947066428,0,0,1.252429684e-05,0,0,0,0.001468246803,0,0.00182423275,0,0,0.001214448479,0.6906034946,0.000148623134,8.292165876e-05,0,0,0,0,0,0,0,0.0006455104449,0.1582374871,0.4055763781,0.002016518964,0.004912017379,0,0,0,0,0,5.55010447e-05,0,0,0,0,0,0,0,2.472900633e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,6.307158401e-06,0.002072411822,0.001302159973,0.0001767795766,0.0001436448802,0.01525387354,0.004143169615,0,0.0004560269881,0,0,0,0,0,0,0,0,0,0,0.004210850224,0,0.001845880295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01400977746,0.009536282159,0.01482249796,0.00240811659,0.002300479915,0.004026623908,0.00152919523,0.003135195468,0.001470234012,0,0,0,0,0,0,0,0.009572805837,0,0,0.0003390237689,0,0,0.002380952472,0.006578397006,0.005813459866,0.001747868489,0,0,0.001342402422,0.7517905831,0,0,0.006238965318,0,0,0.004761904944,0,0,0,0.01014026161,0.1709448546,0.3594238162,0.008332796395,0.002380952472,0,0,0.001259337296,0,0.0002265061921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001643905271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0.00460597733,0,0.0002571268415,0,0.01895100437,0.005380936898,4.721416644e-06,0.0002807424462,0,0,0,0,0,0,0,0,0,0,0.002380952472,0,0.002380952472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03156134859,0.005116676446,0.02273918688,0.004917083774,0.00964875333,0.002025803085,0.003974745516,0.003912231419,0.0009171176935,0,0.002380952472,0.002380952472,0,0,0,0,0.009918603115,0,0,0,0,0.00310266437,0,0.004761904944,0,0.01462896448,0,0,0,0.6521694064,0.002556647174,0,0,0.002380952239,0,0.00376634323,0,0,0,0.0006074334378,0.1298290342,0.3121733367,0,0.0003563176724,0,0,0,0.001135243336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1.931762426e-06,1.399713256e-06,1.325573521e-06,6.307158401e-06,0,0,0.0002273282007,0.0001548644068,0.0002100535494,0.0002576980914,0.01169895846,0.004338195082,0.000247525837,0.0004766705679,1.455758047e-05,0,3.942014155e-05,5.883756239e-05,3.675587504e-05,0,0,0,0,1.2431904e-05,0.003861426376,0.003143617883,0.005512116477,0.002074467717,0.001033896813,0.0003449675278,7.986801938e-05,0.00019003122,0.0001425914379,0.0003160792112,0.0004807635851,0,0,9.560866602e-05,0.0001308283099,0.0001483566011,0,0.06251189113,0.01533630863,0.009765936062,0.001400451874,0.001485272078,0.0005523710279,0.00229929015,0.0002302294888,0.002023794223,0,0,0.000143404628,0.003145224648,0.0002276005252,0.000356735196,0.0003417957923,0.005801682826,0,0,0.0001247767213,2.173043322e-05,0.0005150770885,0.0001025116362,0.001619932824,0.0003000864526,0.00176718412,0,0,0.0008587709744,0.8493187428,0.0006650863797,0.00161853875,5.909630636e-05,0.0002462991106,0,0.0003653127933,0,0,8.001063179e-06,0.01020800974,0.1734199971,0.4344947636,0.008885104209,0.005985206459,0.0007304833271,0,6.711782771e-05,0,0.0003142978821,0,0,0,0,0,0,2.457073606e-05,0,2.975053349e-06,8.95435187e-06,0,0,0,0,0,0,0,0,2.029847337e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.827283813e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8224116e-05
9,0.0001032486762,0,0.0002284256188,0.00023250909,0.0002417130454,0.002072411822,0.00460597733,0.0002273282007,0,4.05177434e-06,0.0006098274025,0.0001212447314,0.006700541358,0.0517254658,0.0008179004071,0.001250213711,0.0001028949191,0.0002503337455,0.0002150604269,0.0002931748168,0.0001448554249,9.114937711e-05,0.0004375000135,7.124953117e-05,7.611562069e-06,4.363593325e-05,0.000124239552,0.0001801021281,0.0005056094378,0.000167952021,0.0001224152802,0.0001035497044,0.0001103647955,0.0002137567353,2.241406946e-05,0.0001067445774,0,0,0,8.012997569e-05,0,0,0,0.04010336474,0.007446303964,0.01341896784,0.00160180137,0.003252120921,0.002518501831,0.001764339977,0.0008532007341,0.01690674014,0.0007335466798,0.0002136594849,0.0002408206201,0.0001381044276,1.878221883e-05,4.146196443e-05,3.752549674e-06,0.004089272581,0.0002504680015,0.0001702688023,0.0004823201161,6.835309614e-05,0.0002765381651,2.319515079e-05,0.01364454255,0.001309133484,0.005047277082,4.284273382e-05,4.921338586e-06,0.009086912498,0.9429832697,0.002345912857,0.001252454007,0.0001881071366,0.0002869484306,5.657551446e-05,0.0003006054612,0.0002732487628,1.921787953e-05,0.000412829133,0.009451234713,0.3109148741,0.7078998685,0.02785135619,0.004136415664,0.0001380421745,0.0004660566046,1.078376044e-05,2.615159428e-05,0.001359074842,0.000386999629,0.0003716073988,0.001072198153,0.0004011456913,0.0004873333382,0.0004838727182,0.0002453051857,0.001584144309,0.0004531434679,0.0003665929835,0.0001365029748,0.0005210934323,3.00588672e-05,3.267879219e-05,6.442337053e-06,3.352858039e-05,0.0005382290692,0.000116500727,0.0002826937416,0,0.0001628724713,0.0002288073592,0,5.449822129e-05,5.691652041e-05,8.413427713e-05,4.161052857e-05,4.423133942e-05,2.006662726e-06,9.172594582e-05,2.882128865e-05,0.0002158194984,0.0004780678137,0.0002174662077,0.0003060632735,4.501514013e-06,0.0003311653272,0.0001661971473,0.0001308723731,0,0.0007742657908,0.0002410928282,0,0,5.109498306e-05,2.451404544e-05,1.470097413e-05,1.400189194e-05,7.31467162e-06,0.0002228521189,0.0002992684313
10,0,2.376072553e-05,5.006285937e-05,0.0003429935314,0,0.001302159973,0,0.0001548644068,4.05177434e-06,0,4.814235581e-06,1.957047289e-06,0.002079573227,0.01442877296,0,0.0003780144325,0.0003577042953,7.711607759e-05,0.0001984619012,0.0002651159302,0.0001529569709,8.944555157e-05,0.0006192241563,0.0002426320571,6.37635676e-05,0,0.0005141622387,0.0005880951649,0.0004473167064,0.000409011991,0.0002133788948,0.0004444168007,0.0003138065804,4.322167661e-05,0.0001622649288,0.0002427427389,0,0,0.0002253570419,0,0,0,0,0.02968312055,0.01618667692,0.006029951852,0.002513742773,0.009068460204,0.003077267669,0.004288453143,0.001398491673,0.003719345899,0,2.276144005e-05,5.496948688e-06,5.108275582e-05,1.936406989e-06,0.0001786958455,0,0.001110078534,0,7.216486119e-05,9.111099644e-05,0,4.284122952e-06,5.935246463e-06,0.0009959093295,0.0002148731583,0.0005035350332,0,0,1.312791665e-05,0.788752079,5.840913946e-05,0.0002271697158,2.080644208e-07,2.370529728e-06,0,9.432837032e-06,0,0,0.0002765860118,0.001637216425,0.1028157622,0.5990511775,0.006639048457,4.872810678e-05,1.911541221e-05,0,5.906441061e-07,0,0,0,0,0,0,0.001014057663,0,0,0,0,0.001511364942,0,0,0,0,0,0,0,0,7.710010686e-05,0,0.0002768411359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275640341
