ROI_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
1,0,5.234056175e-07,0,2.745030088e-06,2.238944717e-06,5.6381582e-06,0,1.025669008e-06,0.0003504708875,0.0004355305864,0.0006412453367,0.0008319210028,0.03237785399,0.05904333666,0.002679987345,0.009584333748,1.264490402e-05,1.452270408e-05,5.576913827e-05,4.445192099e-05,5.574725947e-05,3.803413347e-05,0.0001044606397,1.695019091e-05,0,2.251375736e-05,0.0001679936395,0.000534539402,0.0005199052393,0.0009077349678,0.0006690043956,0.0004895978491,0.000792789564,0.0006357087404,0.0001364193449,0.000621851359,0.0001393197308,0,0,0,9.902739112e-05,0,0,0.2355794609,0.005648999941,0.007089229301,0.001136940671,0.001064280164,0.0001885716774,0.001040108618,0.0002928059839,0.00505052926,0.0006669817376,0.0008276274311,0.0008629791555,0.0003060992458,0.001680988469,0.0009814188816,0.0006241432275,0.001962034265,0.001211206312,8.78853316e-05,0.0004435760784,0.0001346476638,0,0.0001024277008,0.0076602716,0.0005479406682,0.00315230526,0.0002641149913,1.220235845e-05,0.003273983952,0.9214996099,0.0005830529262,0.0006462697638,0.0002056576777,0,0,4.59660514e-05,7.073646702e-05,0,6.024629693e-05,0.002448233077,0.4203200042,0.4636910856,0.03463032842,0.01194669493,1.043131851e-05,2.738832154e-05,0,0,8.411205636e-05,5.535469882e-06,0,0,0,0,0,1.822301601e-05,0,0,0,0,0,0,0,0,6.838510558e-07,0,0,2.135324848e-06,0,8.267767043e-06,1.270820576e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.802822903e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.071128594e-05
2,5.234056175e-07,0,0,0,0,0,0,1.274118745e-06,0.0004947312409,0.0001485428802,0.0002338386403,0.0006806167657,0.02308997139,0.02113123052,3.015941184e-05,0.00692980038,1.034814704e-05,0,3.346497033e-05,2.312654397e-05,0,0.0002144314058,0,0,0,0,0.0001663522562,0,0.0001464432571,0.0001264191815,0,0,9.91517154e-05,0,0,9.385289741e-05,0,0,0,0,0,0,0,0.1010871828,0.01072876714,0.007667534053,0.007142857648,0.004761904944,0.002380952472,0.01186232269,0.002583438996,0.00588621432,0.001475311932,0,0,0.0007836648729,0.004594442435,0.002000415465,0.00104859448,0.004494590685,0,0.0007124227122,0.00190151541,0.002189263003,4.92685358e-05,4.87110774e-05,0.002910391428,0,0.002311251592,4.391755647e-05,3.072094842e-05,0.0002694297291,0.6847642064,0.0004253567022,0.00281251804,3.013013838e-06,0,0,0,0,0,0.0002183882752,0.001597857801,0.2647922039,0.3972598314,0.03821082413,0.00233101449,0,0,0,0,0,0.0005262247287,0.0002548258926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129640077e-05,2.852750549e-05,0,4.295744293e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001376051659,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1.554933647e-06,1.69867817e-05,0,1.354430196e-06,1.931762426e-06,0.0005665008794,0.0001019026968,0.0003856192634,0.0002360248473,0.02992777713,0.02470723353,0.0003548500245,0.01490191557,7.469622506e-05,0.000474466593,0,0.0001457093458,0.0004068360722,0.0002295736631,0.0002354677708,0,0,0.0002302459034,0.001025874284,0.001986061456,0.001411048928,0.0009085502825,0.001288620988,0.001196486992,0.002539619571,0.001204464352,0.0002241557668,0.001430662815,0,0,0,0,0,0.0005480816471,0,0.2124921829,0.02450728603,0.01516536903,0.002100535203,0.00499574095,0.001235801727,0.002361355117,0.0004365851055,0.005375561304,0,0.000391116424,0.0001585840946,0.0001100775698,0.0008224714547,0.0004526127886,0.0002162514138,0.006287141237,0.002486850135,1.36816916e-05,0.0003801031853,0.0001016502865,0.0001767936337,9.885863255e-05,0.009365342557,0.001396391308,0.002992248163,1.132443504e-05,0,0.0007565418491,0.9340760112,0.0005066689337,0.002348467009,9.072154353e-05,0.0003411735815,0,0.000132759611,6.135241711e-05,0,6.126926019e-05,0.01194543764,0.4461191297,0.5202207565,0.04690511525,0.005557183642,0.0004381318286,0,0,4.284737224e-05,0.0004242762516,1.648376929e-05,0,1.773456233e-06,0,0,0,2.131298061e-05,0,4.567123597e-06,0,0,0,0,0,0,8.967022609e-07,0,0,1.38686728e-05,0,3.988143726e-05,0,0,0,0,0,0,0,0,0,3.046349661e-07,0,0,1.132312264e-05,0,0,1.357989368e-05,0,0,0,0,0,0,0,0,0,3.328645164e-07,0,0,0,1.42435847e-05
4,2.745030088e-06,0,1.554933647e-06,0,1.74245597e-05,0,0,1.399713256e-06,0.001952469815,0.002204850316,0.001921814983,0.00152406143,0.02125266939,0.01739561558,0.001376418048,0.007069843356,9.265519111e-06,0,4.397823432e-05,8.550188795e-06,2.547345684e-05,0,0,0,2.056034282e-05,0,7.570568414e-05,0,0.0001352625695,1.986117786e-05,1.044921555e-05,7.254493539e-05,0.0001383701019,0,3.184538582e-05,0,6.240309449e-05,0,0,0,0,0,0,0.1214660853,0.03406871855,0.02807909995,0.02127063088,0.009783752263,0.002741392469,0.01952205226,0.01240813918,0.01028688531,0,0.001660736278,0.0009995382279,0.003045318415,0.00486118719,0.01719923131,0.003264516126,0.01580481417,0.0009882494342,0.00150319119,0.006413696334,0.005894370377,0.0001548585133,0.0004713707895,0.01147820987,0.009638275951,0.00410688296,0,6.790272164e-05,0.002786153462,0.7985957265,0.006123370025,0.01175908837,0.0005075760419,0.0006436342373,0.0002605599875,0.0001750290394,0.001664080308,0,0.00243240525,0.01444028039,0.4066024721,0.4550798535,0.04585269466,0.008235908113,0.0006128222449,0,4.238709516e-05,0.0002384112158,0.0004134729097,0,0,0,6.820174895e-05,0.0002049688337,0,0,0,0,0,0.0001064751486,0,0,0,0,7.401406037e-06,0.0001960380905,0,4.258084664e-05,0,9.879333811e-05,0.0001084586838,0,0,0,3.108998862e-05,0,0,0,0,0,0,0.0002472854976,0,0,0,1.364105083e-05,0,6.056964048e-05,0,0,4.505255856e-05,0,0,0,0,0,0,0,0,0.0004946245463
5,2.238944717e-06,0,1.69867817e-05,1.74245597e-05,0,0,0,1.325573521e-06,0.000907479669,0.003627825994,0.001597864437,0.000605559675,0.03580429778,0.09396333247,0.001176400925,0.02454188839,0,0,0.0008207273204,0,0.002274336061,0,0,0,0.002380952472,0,0.004229729064,0.001492081559,0.0001645140437,0.002946120687,0.003915076144,0.004460600205,0.001571868313,0.002380952239,0.002250099322,0.003628597828,0,0,0,0,0,0,0,0.2560093999,0.00225576479,0.005507366732,0.0004570169258,0.0001732811215,0.0001696293039,0.0006735186907,0.0001384205389,0.004711275455,0.0002245981741,0,0,0,0.006453996524,0.0006252950989,0.00170960906,0.00728486618,3.580897828e-05,0,4.912061922e-05,7.77374371e-05,0,0.0001551034948,0.007214470301,0.0001440114283,0.00697100535,0,0,0.002571306424,0.9513896704,0.0006147067761,0.001496512094,0.005702686496,0,0.002380952472,0.002893412253,5.613468966e-05,0,0.0001916413457,0.007204144262,0.4823754132,0.5097703934,0.03931467235,0.02653601766,0.0006000688882,0.0008312923019,0,0,5.872227121e-05,0.0001490169088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.939584753e-06,0,0,6.202532859e-06,0,0.0002125644387,0.0001350134989,0,0,0,0,0,0,0,0,0,0,2.160485906e-07,1.01200867e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.6381582e-06,0,0,0,0,0,0,8.469793102e-06,0.004160032142,0.001302159973,0.0006616060273,0.0001436448802,0.03066751547,0.007879005745,0,0.005314279813,0,0,0,0,0,0.001188611146,0,0,0,0,0,0.003248339752,0.003003710415,0.003054370638,0.003063190496,0.0008151380462,0,0.0004213621723,0,0.001324399607,0,0,0,0,0,0,0,0.09665960819,0.02130190469,0.03340229392,0.01200270932,0.008313712664,0.009196809493,0.001933962456,0.005347650498,0.005875529721,0,0,0.002380952472,0.002380952239,0,0,0,0.0149461953,0,0,0.001360617462,0.0002342717198,0,0.002380952472,0.01125005446,0.006320866756,0.01182003412,0,0,0.00166868628,0.8134309649,0.001368771074,0.0001446943788,0.008619917557,0,0.002380952239,0.007142857648,0,0,0.0001178342718,0.01583491266,0.4128698707,0.4138940573,0.02326732874,0.008570899256,0.007142857648,0,0.001259337296,0.00114497426,0.002607458737,0,0,0,0,0,4.036644896e-05,0,0,0,0,0,0,0,0,0,0.0001643905271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002380952472,0,0,0,0.0002281942579,0,0,7.55304136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1.354430196e-06,0,0,0,0,0,0.00601603277,0,0.0004367397923,0,0.04071110487,0.006948799826,4.721416644e-06,0.001874537906,0.0007226283778,0,0,0,0,0,0,0,0,0,0.002380952472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05710602552,0.01389737707,0.02712273784,0.01214504242,0.0120297065,0.007064007688,0.01006914675,0.004219768103,0.0009171176935,0.002380952472,0.002380952472,0.004761904944,0,0,0,0,0.017420711,0,0,0.005837262608,0,0.004710232373,0,0.01063540392,0.003881902434,0.04648352787,0,0,0.0003388778132,0.7011737823,0.009699504822,0.002380952472,0,0.002380952239,0,0.008528248407,0,0,0,0.005812700838,0.2539156079,0.3490739465,0.02380952425,0.005555519834,0.002380952472,0,0.0002943043364,0.001135243336,0,0.0006295916974,0,0,0,0,0,0,0,0,0.0008868995355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002430807072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.025669008e-06,1.274118745e-06,1.931762426e-06,1.399713256e-06,1.325573521e-06,8.469793102e-06,0,0,0.001214262797,0.001898635644,0.002244461561,0.001659900066,0.02679795213,0.01068062615,0.0004730220826,0.003026947612,3.848601864e-06,1.036361209e-05,1.438385152e-05,1.722224988e-05,1.339223945e-05,6.582606147e-06,2.368451351e-05,2.600859443e-05,1.153199446e-05,8.846964192e-06,5.39442517e-05,0.0001506351546,0.0002564975584,9.371901251e-05,0.0001119418666,0.0001948405261,0.0001076750123,0.0002586055489,3.366113378e-05,7.403219934e-05,0,0,0,0,0,0,0,0.1803355217,0.03049551137,0.02598110959,0.004998509772,0.005875518546,0.001667815843,0.01115709078,0.001617635484,0.006111430936,0.00112641498,0.002042282838,0.0007673767395,0.005523515865,0.007756009698,0.007779759355,0.005285760388,0.0163925495,0.005962827243,0.003032288747,0.001448948402,0.001946350443,0.002956293989,0.001591658685,0.01059333328,0.003213183023,0.006388775539,0,0.0001333897089,0.004029330797,0.9098777175,0.006557592191,0.008842683397,0.0005639198935,0.002398592886,0,0.001055391505,0.0002631284005,4.454009104e-05,0.0005427041324,0.02354925871,0.4718554318,0.5363231897,0.05902310461,0.01785626262,0.0009861018043,0,4.838976747e-05,0.0003031342058,0.001427631243,0.0002117799886,0.0001734623365,0,0,0,0,2.457073606e-05,1.285436338e-05,8.114182492e-06,1.067489666e-05,7.669761544e-05,0,0,0,5.769163181e-06,1.129603788e-05,4.065556368e-06,0,1.021974367e-05,0,6.829923223e-05,2.524834235e-05,8.367979717e-06,3.918471521e-06,1.041875385e-05,1.596886614e-05,0,0,9.846874309e-05,0,0,0,1.321652599e-05,0,0,0,4.42648161e-05,0.0003298969532,1.457089456e-05,0,0,2.315043457e-05,0,0,0,0,3.932713298e-06,0,0,5.174690523e-05,5.768824121e-05
9,0.0003504708875,0.0004947312409,0.0005665008794,0.001952469815,0.000907479669,0.004160032142,0.00601603277,0.001214262797,0,2.102406324e-05,0.001336663961,0.0004430637346,0.009999314323,0.06215795875,0.001522598672,0.005418980494,0.00154903566,0.005593323149,0.006113371812,0.005659747403,0.003875489114,0.004197714385,0.004905913956,0.003324592486,0.0009773946367,0.002993620932,0.001083068782,0.006827886216,0.007245434914,0.005777895451,0.003338554408,0.004722085781,0.0078529967,0.004022028763,0.001207456342,0.003100876929,0.002356243785,0.002935540164,0.001333522028,0.0009411491337,0.00119772472,0.0008305297815,0,0.216425404,0.01763081551,0.02974753082,0.004024870694,0.008032917976,0.005704667885,0.004073396325,0.002253445098,0.02623117156,0.002745980397,0.0004829410464,0.0005135393585,0.000355269236,0.0001390248362,0.0002487709862,9.88253887e-05,0.01014848705,0.0006400402635,0.0006310282042,0.001245957334,0.0002942965657,0.0007111613522,7.699774142e-05,0.04212533683,0.003805499757,0.01336666197,0.0002179209114,2.844556548e-05,0.02172387764,0.9838044047,0.006680520717,0.003483138047,0.0005737601896,0.0005712286802,0.0001561598183,0.0008312941063,0.0006005404284,3.353063221e-05,0.001057046698,0.02496800013,0.6193206906,0.8095011115,0.1207530871,0.01370229851,0.0004218823742,0.0008411417948,2.959924132e-05,7.818372251e-05,0.002617633203,0.0007178653032,0.002818036824,0.001314494642,0.001267693238,0.001394960564,0.001184752444,0.0004630854528,0.003071290907,0.001245447202,0.001260392717,0.0004293770762,0.0006272306782,0.0002254155261,0.0001205352164,0.0008526504389,0.0003134223807,0.0008205783088,0.0002997398551,0.0008103793953,0.0005591823719,0.0006045027985,0.0006502897595,0,0.0001770580711,0.0001379612804,0.0005609719665,5.41910922e-05,5.532135765e-05,1.19532433e-05,0.0004366493959,0.000127893305,0.001328408252,0.001736207865,0.0004725519684,0.0006864909083,4.889516276e-05,0.0008690896793,0.0004542550014,0.0003134285216,0.0006255648914,0.001506117755,0.0004774813715,0,1.000643169e-05,8.760893252e-05,2.451404544e-05,7.893863949e-05,3.96796604e-05,0.0001169098032,0.0006816966925,0.0005862500984
10,0.0004355305864,0.0001485428802,0.0001019026968,0.002204850316,0.003627825994,0.001302159973,0,0.001898635644,2.102406324e-05,0,1.469618564e-05,4.225624434e-05,0.01010493841,0.0217656102,5.45754483e-06,0.01261437684,0.002535067732,0.004054858815,0.00519890571,0.004732497968,0.004614745267,0.004183135461,0.01050339453,0.001344199176,0.002901625354,0.003652599175,0.00281704287,0.008839722723,0.009495162405,0.009750229307,0.007300846279,0.009560878389,0.01054337714,0.006847807672,0.004050827119,0.007714705076,0.003344840137,0.004022143316,0.0008054099744,0.00256919302,0.002414237475,0.001857915428,0,0.2380478382,0.03743987158,0.0147477556,0.01924639568,0.02388438769,0.01288599335,0.007954232395,0.007049466949,0.006653302815,0.0003543057828,3.283914339e-05,6.266369746e-05,8.170870569e-05,0.0001531273156,0.0004167879815,7.842342166e-05,0.003443507478,0.0002132581867,0.0001313541434,0.00144851231,0.0003131437988,1.373949453e-05,1.097897348e-05,0.008806820028,0.0009122404736,0.001584582613,9.117358422e-05,2.907196722e-05,0.0002244178177,0.911003828,0.0006469011423,0.001068835729,1.601605732e-06,1.086681004e-05,2.426408855e-06,2.724990918e-05,8.917149535e-05,7.466300303e-06,0.001380768721,0.003811157076,0.3074583113,0.7166617513,0.05402422696,0.000227105018,8.324894225e-06,3.579280019e-06,3.010296268e-06,8.335158782e-06,0.0009992015548,0,0.004321978427,0,0,0.001014057663,0,0.0006340704276,0,0.0007937203045,0.001905004843,0,0,0.0003962373012,0,0.0009169710102,0.0001919921924,0,0,0.00028177473,0,0.002800761722,0.0003102445917,0,2.811785089e-05,0,0,0,0,0,0,2.086622089e-06,0,0.001903040451,0,0,0,0.001320275245,0.0001469364506,0,0,0,0,0,0,0,0,0,0,0,0.0001707644406,0.0005631300155
