ROI_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
1,0,0,9.484794532e-07,1.366601964e-06,0,5.6381582e-06,0,1.404893283e-06,0.000420201628,8.558825357e-05,0.001187236514,0.000197084446,0.05840223283,0.07824996114,0.005588667467,0.0002162232413,0,0,0,0,0,0,0,0,0,0,0,1.072304713e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1526373923,0.01322416961,0.009339746088,0.0007906492683,0.00228153239,0.0008076237282,0.001225861837,0.0002013032645,0.0003654084576,0,0,0,0,0,0,0,0.002402383368,0.000167623075,7.539633953e-05,4.458319745e-05,0,2.313894947e-05,9.797797247e-06,0.003446973395,9.236321785e-05,0.002103715902,0,2.22645167e-06,0.001573373098,0.861728549,0.0001105901611,0.0003496254212,0.0004792692198,0,0,2.076911551e-05,0,2.770654191e-06,1.324673394e-05,0.001857005758,0.2267082781,0.3767080903,0.003217122285,0.01202174556,0.0001666296157,2.445516839e-05,0,0,0.000107114698,2.796826993e-05,0,0,1.471168707e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.300037411e-06,0,0,0,0,0,0,0,0,0,0,0,2.156468327e-06,0,0,0,7.039931461e-06,5.758209227e-06,0,0,0,8.458086427e-07,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,6.784937432e-05,0,6.496851711e-05,0,0.03047995456,0.01170023624,0,1.856090967e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09481094033,0.03235923871,0.01048233733,0.006587865297,0.007443950512,0.00590579398,0.00041570756,0.001888667815,0.0001147882795,0,0,0,0,0,0,0,0.001822673832,0,0,0.0002963795559,0,4.92685358e-05,0,0,0,0.0001603884011,0,0,4.579973847e-06,0.5726613998,0,0,3.013013838e-06,0,0,0,0,0,0,0,0.129430607,0.2987096608,0.000718289928,0,0,0,0,0,0.001258341246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.647957086e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9.484794532e-07,0,0,4.817547392e-07,3.930359526e-05,0,2.866866907e-06,1.931762426e-06,0.000624215987,0.0001056537076,0.0006065595662,0.0001093784595,0.07168900222,0.02293701656,0.001175999874,0.00064727274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005269134417,0,0,0,0,0,0,0.245728761,0.09864968807,0.03712440655,0.009592666291,0.01555038802,0.008629410528,0.007897167467,0.001439051004,0.0006339456886,0.0003130702535,0.0002225532371,5.908399908e-05,0.0002129856002,4.556314889e-05,0.0002457068767,0,0.009723382071,0.0009008664638,8.906159928e-05,0.0003464230103,0.0001281536825,0.0001926738187,1.247086311e-05,0.003665633965,0.0003360627161,0.00168208871,0,0,0.0002777539485,0.8938045502,0.0009333369089,0.003878331045,7.996232307e-05,0.0003861300938,0,0.0001002031277,8.643806359e-05,0,0.0001937430206,0.006944532506,0.2474640906,0.4427182674,0.008899919689,0.003355639987,0.0005727015086,4.515566161e-06,2.704960934e-06,2.000532368e-05,0.001449249918,0.0001021793432,3.383286821e-05,7.037887826e-06,0,7.292811915e-06,6.422737897e-06,3.321517215e-05,0,8.708200767e-06,3.026937156e-05,9.826883797e-06,0,0,0,0,0,0,0,2.821062662e-05,0,3.089598977e-05,3.471364153e-06,0,0,0,0,0,0,0,0,9.505114349e-07,0,7.377273505e-06,2.465528269e-05,9.445659998e-06,0,3.895644841e-05,3.610469503e-05,0,0,1.453931418e-05,2.764070132e-06,0,0,0,0,0,0,0,1.521817831e-05,4.916900798e-05
4,1.366601964e-06,0,4.817547392e-07,0,1.106670697e-05,0,0,1.438342906e-06,0.0001425063965,0,0.0004431938287,1.288261774e-05,0.05933507532,0.007350293919,0.001049556537,9.254150063e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2546053529,0.1143125817,0.07340735197,0.02584122866,0.0396739617,0.03007573821,0.01639514044,0.008681736887,0.005996612366,0,0,0,0.0002555994433,9.378607501e-05,0,1.424473339e-05,0.01794764772,0,0,0.001332400134,0.0001743038447,2.717420284e-05,2.738387411e-05,0.004934585188,0.0008246097714,0.001708252705,0,0,0.001954789506,0.7718401551,0.003942035139,0.006782889832,9.186576062e-05,0,0.0001073678213,0.0002145674807,0.0002769476268,6.881501122e-06,0.0005110021448,0.009058215655,0.2372455299,0.4221226871,0.007074513938,0.001855614595,0.0006149206893,1.971901293e-05,0,0.0001061082075,0.004369338509,0.0005601605517,0,0,0.0005736606545,0.0001021212811,8.235840505e-05,0,0,7.669736078e-05,0.0002714070724,0,0,0,0,0,0,3.868802742e-05,0,1.717565465e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002654506534,2.295789091e-05,0.0001232333161,0,0,0,0,0,0,0,0,0,0,0.0007207347662,0.0003630243009
5,0,0,3.930359526e-05,1.106670697e-05,0,9.889548892e-06,0,2.875728342e-06,0.002107462147,0.00527447788,0.005722631235,0.002152940026,0.05982333049,0.1386397332,0.0191004388,0.001019497984,0,0,0,0,0,0,0,0,0,0,0.00247688964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1361987442,0.005047583953,0.008287637495,0.000835930754,0.0002480876865,0.0003341464908,0.0009161201888,0.000153457222,0.0008031101897,0.0002245981741,0,0,0,0,0,6.325062714e-05,0.00673468411,3.580897828e-05,0,0.000223732015,3.421962538e-05,0.002380952472,0.0001313072426,0.002036500489,0.0004033725418,0.008185635321,0,8.12636863e-05,0.01962256432,0.9037209153,0.00302445842,0.0009964024648,0.01133074705,0,0,0.002762487391,0.0003173143195,0,7.796377758e-05,0.005368979182,0.2799967229,0.4134828746,0.005003095604,0.03157584369,0.0007000751793,0.002214851324,0,0,0.0002292990393,0.0002709361434,1.729769792e-06,0,0,0,0,3.493250233e-06,0,0,6.716419193e-06,0,0,0,0,0,0,0,0,1.214053282e-05,0,8.432262803e-06,0,0,0,0,2.626011701e-05,0,0,0,0,0,0,1.395340064e-06,0,0,0,1.776792305e-05,1.92538937e-05,0,0,0,1.612836786e-05,4.095722761e-05,0,0,0.0001341647003,0,0,0,5.706679985e-06,0
6,5.6381582e-06,0,0,0,9.889548892e-06,0,0,7.488065421e-06,0.005164282396,0.001302159973,0.000641492079,0.0001436448802,0.09755221009,0.01156122424,0,6.3755062e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2468566298,0.104928501,0.08233693987,0.02091239579,0.02288577147,0.03391409665,0.01572983526,0.01008700021,0.002526059747,0,0,0,0,0.002380952239,0.002380952472,0,0.02007743344,0,0.0002114505478,0.001877151197,0.0002789744467,0.004761904944,0.002380952472,0.008512348868,0.005813459866,0.004722001497,0,0,0.00166868628,0.7926178575,0.0007768668002,0.006269976962,0.006238965318,0,0,0.009523809887,0,0.00169922132,0,0.01336772181,0.26511392,0.3686748147,0.01029157918,0.005721950904,0,0,0.001259337296,0,0.00680187298,0,0,0,0,0,6.817777466e-05,0,0,5.529604823e-05,0,0,0,0,0,7.299301797e-05,0.0001643905271,0,0,0.0003181739594,0,0,0.0001619283139,0,0,0,7.725881733e-05,0,0,0,0.002380952472,0,0,3.275135896e-07,3.988745812e-05,0,0,0.0001458451297,0,3.563807331e-05,0,0,0,0,0,0,0,0,0,0,0,0.0002770558931
7,0,0,2.866866907e-06,0,0,0,0,0,0.004947993439,1.524811978e-05,0.0002828247671,0,0.1124622673,0.004709567875,8.16267202e-05,0.0009395665256,0,0,0,0,0,0,0,0,0,0,0.002380952472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190328449,0.1163231209,0.07399211079,0.01974813826,0.03250930086,0.02987771854,0.01503408886,0.01795611717,0.003298069816,0.002380952472,0.002380952472,0.002380952472,0,0.004761904944,0,0,0.02777839638,0,0,0.006133337971,0.0002572944504,0.005483616609,0,0.004761904944,0,0.003696114291,0,0.000435823953,1.083230745e-05,0.6545466185,0.007318552583,0.01053504646,0,0,0.0001956878405,0.01090920158,0,0,0.0007622344419,0.002988385968,0.1751536876,0.3075667322,0,0.0001200875704,0.002380952472,0,0,0.002230968093,0,0,0,0,0.0002383458923,0,0,0,0,0.0001703515009,0,0,0.002380952239,0,0,0,0,0,0,0.003819057718,0,0,0.004119911697,0,0,0,0,0,0,0,0,0,0,0,0,0.00103557657,0,0,0,0,0,0,0.0005336830509,0,0,0,0,0,0,0,0,0.0001228913025
8,1.404893283e-06,0,1.931762426e-06,1.438342906e-06,2.875728342e-06,7.488065421e-06,0,0,0.0002728046093,2.511430466e-05,0.0009415469249,4.095757322e-05,0.06040314212,0.008451335132,0.0002283729118,4.318193533e-05,0,0,0,0,0,0,0,0,0,0,0,0,7.151292266e-06,0,1.848336615e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.2574756145,0.1363336742,0.06668851525,0.01097470522,0.02333564684,0.01698761433,0.01066402253,0.002853689017,0.001492060372,0,0.0007963905227,0.0005818448262,0.002760144649,0.000439106574,0.0001898045593,0,0.01824639179,0.000848440628,0.0002828691213,0.0006725637941,0.0001195252407,0.000973690534,0.0001997578802,0.002841423266,0.0009291529423,0.00322437007,0,0.0001173763958,0.002137800911,0.8780714869,0.002954305382,0.007123604883,0.0004320233129,0.001590356347,0.0002489881881,0.0008929440519,0,0,0.0003706700518,0.01916892454,0.2848056257,0.4754407406,0.01059253234,0.01472087484,0.003973773215,0,3.35972727e-05,0.0001377290464,0.001530932146,0.0003284733393,1.830762812e-05,3.995664883e-06,7.718912821e-05,0,4.329289823e-06,2.457073606e-05,0,2.034217323e-05,5.103313379e-05,6.110855611e-05,0,0,0,0,0,2.947462417e-05,0,1.401922327e-05,0,5.977856563e-05,0,0,0,4.489125331e-06,0,0,0,0,0,0,0,0,0,0,0,0.0001348406076,8.67101262e-05,2.004428825e-05,0,0,6.219555416e-06,0,0,0,0,5.268790119e-06,0,0,1.715158214e-05,0.0001327585196
9,0.000420201628,6.784937432e-05,0.000624215987,0.0001425063965,0.002107462147,0.005164282396,0.004947993439,0.0002728046093,0,5.199304724e-06,0.0009219682543,0.0001428444375,0.0192329213,0.03035223484,0.001056753215,0.0001342961332,1.236784465e-05,0,0,0,0,0,0.0002646145585,0,2.63956008e-05,0,2.762323311e-05,2.113812479e-05,7.809900126e-05,3.332451524e-05,1.779694139e-05,3.050979649e-05,0,0,6.647108421e-06,1.922801312e-05,0,2.521957504e-05,0.0007429640973,0,0,0,0,0.2737040818,0.06376384199,0.04993126169,0.00586029375,0.01971862651,0.02775670029,0.006839927752,0.003786511486,0.01166735217,0.001832772279,0.0003033675312,0.0003863792517,0.0003143888025,4.800943498e-05,0.0001056927576,6.629780728e-06,0.01156650018,0.0005673384876,0.0005415046471,0.001595938462,0.0001675185922,0.0005254223361,5.687624798e-05,0.02054218575,0.001906370511,0.005543927662,6.049287549e-05,1.700453686e-05,0.007806690875,0.9688158631,0.003511674935,0.003749676747,0.0002789277933,0.0004550279118,0.000144179372,0.0006919775042,0.0007009439287,3.675881817e-05,0.00163118192,0.0171764344,0.4395461082,0.7389537692,0.04283986613,0.004407851025,0.000236838212,0.0003257569333,1.821535443e-05,6.059697262e-05,0.008332882077,0.001839246019,0.003105071373,0.00366259343,0.003197983373,0.002641529776,0.003868510947,0.002956882352,0.002497993875,0.002656236058,0.002855423605,0.0007082079537,0.0005210934323,9.863420564e-05,3.267879219e-05,2.364030115e-05,8.792358858e-05,0.001827906584,0.0001610345353,0.001280799857,0.0007291700458,0.0008485271246,0.0006719215307,7.872439892e-05,5.148078344e-05,0.0004903467488,0.001256848685,6.326279981e-05,4.916076432e-05,3.346209269e-05,0.0002103318984,5.957295434e-05,0.0001967548742,0.001397979562,0.001203431049,0.0009406573372,4.148239532e-05,0.001921485062,0.0006728101871,0.000918398262,0.001071738428,0.0009472848615,0.0009793074569,0.0002147532214,3.850406574e-05,5.109498306e-05,3.873645619e-05,2.132784903e-05,2.455183858e-05,3.059017035e-05,0.001918803202,0.001109670964
10,8.558825357e-05,0,0.0001056537076,0,0.00527447788,0.001302159973,1.524811978e-05,2.511430466e-05,5.199304724e-06,0,7.537058991e-06,1.581354695e-06,0.00950272847,0.01325902808,0,1.71067386e-05,0,0,0,0,0,0,0,0,0,0,2.260936526e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2145216018,0.1246074662,0.02512963861,0.0232574828,0.05508885533,0.03172992915,0.01244848128,0.01002216246,0.002686405554,0,1.722814159e-05,1.278766376e-05,5.938637696e-05,6.294427521e-07,5.725682786e-05,0,0.003810888156,0,0.0001930175495,0.00169447076,4.317027197e-05,1.904275814e-05,5.559744295e-06,0.00217602565,0.0002131671645,0.0002088942711,0,1.361747991e-06,1.580851858e-05,0.8281069994,0.0008174721152,0.001320970827,4.306089352e-07,2.370529728e-06,0,1.858625183e-05,9.192738798e-05,0,0.00110460096,0.003783787834,0.1709100008,0.6277805567,0.008643704467,3.172056677e-05,2.01911962e-06,0,5.906441061e-07,0,0.00233860407,0.0002084097796,0.002170571592,0,0,0.001014057663,0.001656550565,0.004117781296,0,0.001901724725,0.002105666092,0.001812258037,0,0,0,0,0,0,0,0.0005062825512,0,0.0004424774961,0.0002551754296,0,0,0,0,0,0,0,0,0,0,0,0.0009208328556,0,0,0.001006372157,0.0002544948075,0,0,0,0.0011286519,0,0,0,0,0,0,2.974664858e-05,0,0.0006655612378
